label,short,shortDomain,shortRange,description
cylinder bore (mm),dbo:cylinderBore,dbo:Engine,dbd:millimetre,cylinder bore of engine in millimetre
diameter (mm),dbo:diameter,dbo:Engine,dbd:millimetre,diameter of engine in millimetre
displacement (cc),dbo:displacement,dbo:Engine,dbd:cubicCentimetre,displacement of engine in cubic centimetre
height (mm),dbo:height,dbo:Engine,dbd:millimetre,height of engine in millimetre
length (mm),dbo:length,dbo:Engine,dbd:millimetre,length of engine in millimetre
power output (kW),dbo:powerOutput,dbo:Engine,dbd:kilowatt,power output of engine in kilowatt
top speed (kmh),dbo:topSpeed,dbo:Engine,dbd:kilometrePerHour,top speed of engine in kilometre per hour
torque output (Nm),dbo:torqueOutput,dbo:Engine,dbd:newtonMetre,torque output of engine in newton metre
weight (kg),dbo:weight,dbo:Engine,dbd:kilogram,weight of engine in kilogram
width (mm),dbo:width,dbo:Engine,dbd:millimetre,width of engine in millimetre
diameter (μ),dbo:diameter,dbo:Escalator,dbd:metre,diameter of escalator in metre
height (mm),dbo:height,dbo:Escalator,dbd:millimetre,height of escalator in millimetre
length (mm),dbo:length,dbo:Escalator,dbd:millimetre,length of escalator in millimetre
mass (kg),dbo:mass,dbo:Escalator,dbd:kilogram,mass of escalator in kilogram
weight (kg),dbo:weight,dbo:Escalator,dbd:kilogram,weight of escalator in kilogram
width (mm),dbo:width,dbo:Escalator,dbd:millimetre,width of escalator in millimetre
apoapsis (km),dbo:apoapsis,dbo:Galaxy,dbd:kilometre,apoapsis of galaxy in kilometre
average speed (km/s),dbo:averageSpeed,dbo:Galaxy,dbd:kilometrePerSecond,average speed of galaxy in kilometre per second
mass (kg),dbo:mass,dbo:Galaxy,dbd:kilogram,mass of galaxy in kilogram
maximum temperature (K),dbo:maximumTemperature,dbo:Galaxy,dbd:kelvin,maximum temperature of galaxy in kelvin
mean radius (km),dbo:meanRadius,dbo:Galaxy,dbd:kilometre,mean radius of galaxy in kilometre
mean temperature (K),dbo:meanTemperature,dbo:Galaxy,dbd:kelvin,mean temperature of galaxy in kelvin
minimum temperature (K),dbo:minimumTemperature,dbo:Galaxy,dbd:kelvin,minimum temperature of galaxy in kelvin
orbital period (μ),dbo:orbitalPeriod,dbo:Galaxy,dbd:day,orbital period of galaxy in day
periapsis (km),dbo:periapsis,dbo:Galaxy,dbd:kilometre,periapsis of galaxy in kilometre
surface area (km2),dbo:surfaceArea,dbo:Galaxy,dbd:squareKilometre,surface area of galaxy in square kilometre
temperature (K),dbo:temperature,dbo:Galaxy,dbd:kelvin,temperature of galaxy in kelvin
volume (km3),dbo:volume,dbo:Galaxy,dbd:cubicKilometre,volume of galaxy in cubic kilometre
area metro (km2),dbo:areaMetro,dbo:GeopoliticalOrganisation,dbd:squareKilometre,area metro of geopolitical organisation in square kilometre
population density (/sqkm),dbo:populationDensity,dbo:GeopoliticalOrganisation,dbd:inhabitantsPerSquareKilometre,population density of geopolitical organisation in inhabitants per square kilometre
course (km),dbo:course,dbo:GrandPrix,dbd:kilometre,course of grand prix in kilometre
distance (km),dbo:distance,dbo:GrandPrix,dbd:kilometre,distance of grand prix in kilometre
length (km),dbo:length,dbo:Infrastructure,dbd:kilometre,length of infrastructure in kilometre
area of catchment (km2),dbo:areaOfCatchment,dbo:Lake,dbd:squareKilometre,area of catchment of lake in square kilometre
shore length (km),dbo:shoreLength,dbo:Lake,dbd:kilometre,shore length of lake in kilometre
volume (μ³),dbo:volume,dbo:Lake,dbd:cubicMetre,volume of lake in cubic metre
diameter (km),dbo:diameter,dbo:LunarCrater,dbd:kilometre,diameter of lunar crater in kilometre
diameter (μ),dbo:diameter,dbo:MeanOfTransportation,dbd:metre,diameter of mean of transportation in metre
height (mm),dbo:height,dbo:MeanOfTransportation,dbd:millimetre,height of mean of transportation in millimetre
length (mm),dbo:length,dbo:MeanOfTransportation,dbd:millimetre,length of mean of transportation in millimetre
mass (kg),dbo:mass,dbo:MeanOfTransportation,dbd:kilogram,mass of mean of transportation in kilogram
weight (kg),dbo:weight,dbo:MeanOfTransportation,dbd:kilogram,weight of mean of transportation in kilogram
width (mm),dbo:width,dbo:MeanOfTransportation,dbd:millimetre,width of mean of transportation in millimetre
diameter (μ),dbo:diameter,dbo:MovingWalkway,dbd:metre,diameter of moving walkway in metre
height (mm),dbo:height,dbo:MovingWalkway,dbd:millimetre,height of moving walkway in millimetre
length (mm),dbo:length,dbo:MovingWalkway,dbd:millimetre,length of moving walkway in millimetre
mass (kg),dbo:mass,dbo:MovingWalkway,dbd:kilogram,mass of moving walkway in kilogram
width (mm),dbo:width,dbo:MovingWalkway,dbd:millimetre,width of moving walkway in millimetre
diameter (μ),dbo:diameter,dbo:On-SiteTransportation,dbd:metre,diameter of on- site transportation in metre
height (mm),dbo:height,dbo:On-SiteTransportation,dbd:millimetre,height of on- site transportation in millimetre
length (mm),dbo:length,dbo:On-SiteTransportation,dbd:millimetre,length of on- site transportation in millimetre
mass (kg),dbo:mass,dbo:On-SiteTransportation,dbd:kilogram,mass of on- site transportation in kilogram
weight (kg),dbo:weight,dbo:On-SiteTransportation,dbd:kilogram,weight of on- site transportation in kilogram
width (mm),dbo:width,dbo:On-SiteTransportation,dbd:millimetre,width of on- site transportation in millimetre
height (cm),dbo:height,dbo:Person,dbd:centimetre,height of person in centimetre
weight (kg),dbo:weight,dbo:Person,dbd:kilogram,weight of person in kilogram
apoapsis (km),dbo:apoapsis,dbo:Planet,dbd:kilometre,apoapsis of planet in kilometre
average speed (km/s),dbo:averageSpeed,dbo:Planet,dbd:kilometrePerSecond,average speed of planet in kilometre per second
density (μ3),dbo:density,dbo:Planet,dbd:kilogramPerCubicMetre,density of planet in kilogram per cubic metre
mass (kg),dbo:mass,dbo:Planet,dbd:kilogram,mass of planet in kilogram
maximum temperature (K),dbo:maximumTemperature,dbo:Planet,dbd:kelvin,maximum temperature of planet in kelvin
mean radius (km),dbo:meanRadius,dbo:Planet,dbd:kilometre,mean radius of planet in kilometre
mean temperature (K),dbo:meanTemperature,dbo:Planet,dbd:kelvin,mean temperature of planet in kelvin
minimum temperature (K),dbo:minimumTemperature,dbo:Planet,dbd:kelvin,minimum temperature of planet in kelvin
orbital period (μ),dbo:orbitalPeriod,dbo:Planet,dbd:day,orbital period of planet in day
periapsis (km),dbo:periapsis,dbo:Planet,dbd:kilometre,periapsis of planet in kilometre
surface area (km2),dbo:surfaceArea,dbo:Planet,dbd:squareKilometre,surface area of planet in square kilometre
temperature (K),dbo:temperature,dbo:Planet,dbd:kelvin,temperature of planet in kelvin
volume (km3),dbo:volume,dbo:Planet,dbd:cubicKilometre,volume of planet in cubic kilometre
area (km2),dbo:area,dbo:PopulatedPlace,dbd:squareKilometre,area of populated place in square kilometre
area metro (km2),dbo:areaMetro,dbo:PopulatedPlace,dbd:squareKilometre,area metro of populated place in square kilometre
area total (km2),dbo:areaTotal,dbo:PopulatedPlace,dbd:squareKilometre,area total of populated place in square kilometre
area urban (km2),dbo:areaUrban,dbo:PopulatedPlace,dbd:squareKilometre,area urban of populated place in square kilometre
population density (/sqkm),dbo:populationDensity,dbo:PopulatedPlace,dbd:inhabitantsPerSquareKilometre,population density of populated place in inhabitants per square kilometre
population metro density (/sqkm),dbo:populationMetroDensity,dbo:PopulatedPlace,dbd:inhabitantsPerSquareKilometre,population metro density of populated place in inhabitants per square kilometre
population urban density (/sqkm),dbo:populationUrbanDensity,dbo:PopulatedPlace,dbd:inhabitantsPerSquareKilometre,population urban density of populated place in inhabitants per square kilometre
lower earth orbit payload (kg),dbo:lowerEarthOrbitPayload,dbo:Rocket,dbd:kilogram,lower earth orbit payload of rocket in kilogram
mass (kg),dbo:mass,dbo:Rocket,dbd:kilogram,mass of rocket in kilogram
campus size (km2),dbo:campusSize,dbo:School,dbd:squareKilometre,campus size of school in square kilometre
size (MB),dbo:fileSize,dbo:Software,dbd:megabyte,size of software in megabyte
CMP EVA duration (ω),dbo:cmpEvaDuration,dbo:SpaceMission,dbd:hour,cmp eva duration of space mission in hour
distance traveled (km),dbo:distanceTraveled,dbo:SpaceMission,dbd:kilometre,distance traveled of space mission in kilometre
lunar EVA time (ω),dbo:lunarEvaTime,dbo:SpaceMission,dbd:hour,lunar eva time of space mission in hour
lunar orbit time (ω),dbo:lunarOrbitTime,dbo:SpaceMission,dbd:hour,lunar orbit time of space mission in hour
lunar sample mass (kg),dbo:lunarSampleMass,dbo:SpaceMission,dbd:kilogram,lunar sample mass of space mission in kilogram
lunar surface time (ω),dbo:lunarSurfaceTime,dbo:SpaceMission,dbd:hour,lunar surface time of space mission in hour
mass (kg),dbo:mass,dbo:SpaceMission,dbd:kilogram,mass of space mission in kilogram
mission duration (μ),dbo:missionDuration,dbo:SpaceMission,dbd:day,mission duration of space mission in day
station EVA duration (ω),dbo:stationEvaDuration,dbo:SpaceMission,dbd:hour,station eva duration of space mission in hour
station visit duration (ω),dbo:stationVisitDuration,dbo:SpaceMission,dbd:hour,station visit duration of space mission in hour
distance (km),dbo:distance,dbo:SpaceShuttle,dbd:kilometre,distance of space shuttle in kilometre
total time person has spent in space (μ),dbo:timeInSpace,dbo:SpaceShuttle,dbd:day,total time person has spent in space of space shuttle in day
volume (μ³),dbo:volume,dbo:SpaceStation,dbd:cubicMetre,volume of space station in cubic metre
apoapsis (km),dbo:apoapsis,dbo:Spacecraft,dbd:kilometre,apoapsis of spacecraft in kilometre
cargo fuel (kg),dbo:cargoFuel,dbo:Spacecraft,dbd:kilogram,cargo fuel of spacecraft in kilogram
cargo gas (kg),dbo:cargoGas,dbo:Spacecraft,dbd:kilogram,cargo gas of spacecraft in kilogram
cargo water (kg),dbo:cargoWater,dbo:Spacecraft,dbd:kilogram,cargo water of spacecraft in kilogram
docked time (μ),dbo:dockedTime,dbo:Spacecraft,dbd:day,docked time of spacecraft in day
dry cargo (kg),dbo:dryCargo,dbo:Spacecraft,dbd:kilogram,dry cargo of spacecraft in kilogram
free flight time (μ),dbo:freeFlightTime,dbo:Spacecraft,dbd:day,free flight time of spacecraft in day
periapsis (km),dbo:periapsis,dbo:Spacecraft,dbd:kilometre,periapsis of spacecraft in kilometre
total cargo (kg),dbo:totalCargo,dbo:Spacecraft,dbd:kilogram,total cargo of spacecraft in kilogram
total mass (kg),dbo:totalMass,dbo:Spacecraft,dbd:kilogram,total mass of spacecraft in kilogram
discharge (m³/s),dbo:discharge,dbo:Stream,dbd:cubicMetrePerSecond,discharge of stream in cubic metre per second
discharge average (m³/s),dbo:dischargeAverage,dbo:Stream,dbd:cubicMetrePerSecond,discharge average of stream in cubic metre per second
maximum discharge (m³/s),dbo:maximumDischarge,dbo:Stream,dbd:cubicMetrePerSecond,maximum discharge of stream in cubic metre per second
minimum discharge (m³/s),dbo:minimumDischarge,dbo:Stream,dbd:cubicMetrePerSecond,minimum discharge of stream in cubic metre per second
watershed (km2),dbo:watershed,dbo:Stream,dbd:squareKilometre,watershed of stream in square kilometre
diameter (mm),dbo:diameter,dbo:Weapon,dbd:millimetre,diameter of weapon in millimetre
height (mm),dbo:height,dbo:Weapon,dbd:millimetre,height of weapon in millimetre
length (mm),dbo:length,dbo:Weapon,dbd:millimetre,length of weapon in millimetre
weight (kg),dbo:weight,dbo:Weapon,dbd:kilogram,weight of weapon in kilogram
width (mm),dbo:width,dbo:Weapon,dbd:millimetre,width of weapon in millimetre
runtime (m),dbo:runtime,dbo:Work,dbd:minute,runtime of work in minute
a side,dbo:aSide,dbo:Single,xsd:string,a side of single
abbey church blessing,dbo:abbeychurchBlessing,dbo:Cleric,xsd:string,abbey church blessing of cleric
abbey church blessing charge,dbo:abbeychurchBlessingCharge,dbo:Cleric,xsd:string,abbey church blessing charge of cleric
abbreviation,dbo:abbreviation,,xsd:string,abbreviation
able to grind,dbo:ableToGrind,dbo:Mill,xsd:string,able to grind of mill
absolute magnitude,dbo:absoluteMagnitude,dbo:CelestialBody,xsd:double,absolute magnitude of celestial body
abstentions,dbo:abstentions,dbo:StatedResolution,xsd:nonNegativeInteger,abstentions of stated resolution
has abstract,dbo:abstract,,rdf:langString,has abstract
acceleration (s),dbo:acceleration,dbo:AutomobileEngine,xsd:double,acceleration of automobile engine
access,dbo:access,,xsd:string,access
access date,dbo:accessDate,,xsd:date,access date
date of acquirement,dbo:acquirementDate,dbo:Ship,xsd:date,date of acquirement of ship
Active Cases,dbo:activeCases,dbo:Outbreak,xsd:integer,active cases of outbreak
active years,dbo:activeYears,dbo:Person,xsd:string,active years of person
active years end date manager,dbo:activeYearsEndDateMgr,dbo:Person,xsd:string,active years end date manager of person
active years end year,dbo:activeYearsEndYear,,xsd:gYear,active years end year
active years end year manager,dbo:activeYearsEndYearMgr,dbo:Person,xsd:gYear,active years end year manager of person
active years start date,dbo:activeYearsStartDate,,xsd:date,active years start date
active years start date manager,dbo:activeYearsStartDateMgr,dbo:Person,xsd:date,active years start date manager of person
active years start year,dbo:activeYearsStartYear,,xsd:gYear,active years start year
active years start year manager,dbo:activeYearsStartYearMgr,dbo:Person,xsd:gYear,active years start year manager of person
address,dbo:address,dbo:Place,rdf:langString,address of place
administrative status,dbo:administrativeStatus,,xsd:string,administrative status
afdb id,dbo:afdbId,dbo:Film,xsd:string,afdb id of film
affair,dbo:affair,dbo:Person,xsd:string,affair of person
affiliate,dbo:affiliate,dbo:FictionalCharacter,xsd:string,affiliate of fictional character
age,dbo:age,dbo:Agent,xsd:integer,age of agent
age range,dbo:ageRange,,xsd:nonNegativeInteger,age range
agency station code,dbo:agencyStationCode,dbo:Station,xsd:string,agency station code of station
agglomeration population total,dbo:agglomerationPopulationTotal,,xsd:nonNegativeInteger,agglomeration population total
agglomerationPopulationYear,dbo:agglomerationPopulationYear,dbo:Settlement,xsd:string,agglomerationpopulationyear of settlement
Aggregation,dbo:aggregation,dbo:ChemicalSubstance,xsd:string,aggregation of chemical substance
airdate,dbo:airDate,dbo:RadioStation,xsd:date,airdate of radio station
aircraft type,dbo:aircraftType,dbo:Aircraft,xsd:string,aircraft type of aircraft
Different usage of an airport,dbo:airportUsing,dbo:Airport,xsd:string,different usage of an airport of airport
aita code,dbo:aitaCode,,xsd:string,aita code
albedo,dbo:albedo,dbo:Planet,xsd:double,albedo of planet
album duration (s),dbo:albumRuntime,dbo:Album,xsd:double,album duration of album
alias,dbo:alias,,rdf:langString,alias
allcinema id,dbo:allcinemaId,dbo:Film,xsd:string,allcinema id of film
allegiance,dbo:allegiance,dbo:Person,xsd:string,allegiance of person
Alps SOIUSA code,dbo:alpsSoiusaCode,dbo:Mountain,xsd:string,alps soiusa code of mountain
alternative name,dbo:alternativeName,,rdf:langString,alternative name
alternative text,dbo:alternativeText,,xsd:string,alternative text
alternative title,dbo:alternativeTitle,dbo:Work,rdf:langString,alternative title of work
amateur defeat,dbo:amateurDefeat,dbo:Boxer,xsd:nonNegativeInteger,amateur defeat of boxer
amateur fight,dbo:amateurFight,dbo:Boxer,xsd:nonNegativeInteger,amateur fight of boxer
amateur ko,dbo:amateurKo,dbo:Boxer,xsd:nonNegativeInteger,amateur ko of boxer
amateur no contest,dbo:amateurNoContest,dbo:Boxer,xsd:nonNegativeInteger,amateur no contest of boxer
amateur tie,dbo:amateurTie,dbo:Boxer,xsd:nonNegativeInteger,amateur tie of boxer
amateur title,dbo:amateurTitle,dbo:Boxer,xsd:string,amateur title of boxer
amateur victory,dbo:amateurVictory,dbo:Boxer,xsd:nonNegativeInteger,amateur victory of boxer
amateur year,dbo:amateurYear,"dbo:Athlete,_CareerStation",xsd:string,"amateur year of athlete,_ career station"
amgId,dbo:amgid,dbo:Film,xsd:string,amgid of film
Amsterdam Code,dbo:amsterdamCode,dbo:Municipality,xsd:string,amsterdam code of municipality
analog channel,dbo:analogChannel,dbo:Broadcaster,xsd:string,analog channel of broadcaster
anniversary,dbo:anniversary,dbo:MilitaryUnit,xsd:date,anniversary of military unit
annual temperature (K),dbo:annualTemperature,dbo:Place,xsd:double,annual temperature of place
AO,dbo:aoCloassification,dbo:Disease,xsd:string,ao of disease
apoapsis (μ),dbo:apoapsis,dbo:CelestialBody,xsd:double,apoapsis of celestial body
apofocus,dbo:apofocus,dbo:CelestialBody,xsd:string,apofocus of celestial body
apparent magnitude,dbo:apparentMagnitude,dbo:Planet,xsd:double,apparent magnitude of planet
appearance,dbo:appearance,,xsd:string,appearance
appearances in national team,dbo:appearancesInNationalTeam,dbo:SoccerPlayer,xsd:nonNegativeInteger,appearances in national team of soccer player
apprehended,dbo:apprehended,dbo:Criminal,xsd:date,apprehended of criminal
date of approval by lower parliament,dbo:approvedByLowerParliament,dbo:Law,xsd:date,date of approval by lower parliament of law
date of approval by upper parliament,dbo:approvedByUpperParliament,dbo:Law,xsd:date,date of approval by upper parliament of law
approximate calories (J),dbo:approximateCalories,dbo:Food,xsd:double,approximate calories of food
apskritis,dbo:apskritis,dbo:PopulatedPlace,xsd:string,apskritis of populated place
architectural movement,dbo:architecturalMovement,dbo:Architect,xsd:string,architectural movement of architect
area (m2),dbo:area,,xsd:double,area
area code,dbo:areaCode,dbo:Place,xsd:string,area code of place
area date,dbo:areaDate,dbo:Place,xsd:date,area date of place
area land (m2),dbo:areaLand,dbo:Place,xsd:double,area land of place
area metro (m2),dbo:areaMetro,,xsd:double,area metro
area of catchment (m2),dbo:areaOfCatchment,dbo:Lake,xsd:double,area of catchment of lake
area of catchment quote,dbo:areaOfCatchmentQuote,dbo:Place,xsd:string,area of catchment quote of place
area quote,dbo:areaQuote,dbo:Place,xsd:string,area quote of place
area rank,dbo:areaRank,dbo:Place,xsd:string,area rank of place
area rural (m2),dbo:areaRural,dbo:PopulatedPlace,xsd:double,area rural of populated place
area total (m2),dbo:areaTotal,dbo:Place,xsd:double,area total of place
total area ranking,dbo:areaTotalRanking,dbo:PopulatedPlace,xsd:positiveInteger,total area ranking of populated place
area urban (m2),dbo:areaUrban,dbo:PopulatedPlace,xsd:double,area urban of populated place
area water (m2),dbo:areaWater,dbo:Place,xsd:double,area water of place
argue date,dbo:argueDate,dbo:SupremeCourtOfTheUnitedStatesCase,xsd:date,argue date of supreme court of the united states case
arm,dbo:arm,dbo:Protein,xsd:string,arm of protein
army,dbo:army,dbo:MilitaryPerson,xsd:string,army of military person
arrest date,dbo:arrestDate,dbo:Person,xsd:date,arrest date of person
artificial snow area,dbo:artificialSnowArea,dbo:Place,xsd:float,artificial snow area of place
artist function,dbo:artistFunction,dbo:Artist,xsd:string,artist function of artist
artistic function,dbo:artisticFunction,dbo:Person,xsd:string,artistic function of person
Contains a WikiText representation of this thing,dbo:asWikiText,,xsd:string,contains a wikitext representation of this thing
ascent,dbo:ascent,,xsd:string,ascent
asia championship,dbo:asiaChampionship,dbo:Athlete,xsd:string,asia championship of athlete
asset under management ($),dbo:assetUnderManagement,dbo:Company,xsd:double,asset under management of company
assets ($),dbo:assets,dbo:Company,xsd:double,assets of company
Astrazenca,dbo:astrazenca,,xsd:string,astrazenca
AstrazencaCumulativeDoses,dbo:astrazencaCumul,,xsd:integer,astrazencacumulativedoses
page number,dbo:atPage,dbo:Reference,xsd:string,page number of reference
row number,dbo:atRowNumber,dbo:Reference,xsd:string,row number of reference
ATC code,dbo:atcCode,,xsd:string,atc code
ATC prefix,dbo:atcPrefix,,xsd:string,atc prefix
ATC suffix,dbo:atcSuffix,,xsd:string,atc suffix
atomic number,dbo:atomicNumber,dbo:ChemicalElement,xsd:nonNegativeInteger,atomic number of chemical element
australia open double,dbo:australiaOpenDouble,dbo:TennisPlayer,xsd:string,australia open double of tennis player
australia open mixed,dbo:australiaOpenMixed,dbo:TennisPlayer,xsd:string,australia open mixed of tennis player
australia open single,dbo:australiaOpenSingle,dbo:TennisPlayer,xsd:string,australia open single of tennis player
authority mandate,dbo:authorityMandate,dbo:Place,xsd:string,authority mandate of place
authority title of a romanian settlement,dbo:authorityTitle,dbo:RomaniaSettlement,xsd:string,authority title of a romanian settlement of romania settlement
automobile model,dbo:automobileModel,dbo:AutomobileEngine,xsd:string,automobile model of automobile engine
average,dbo:average,,xsd:double,average
average annual gross power generation (J),dbo:averageAnnualGeneration,dbo:PowerStation,xsd:double,average annual gross power generation of power station
average class size,dbo:averageClassSize,dbo:School,xsd:float,average class size of school
average depth (μ),dbo:averageDepth,dbo:Place,xsd:double,average depth of place
average depth quote,dbo:averageDepthQuote,dbo:Place,xsd:string,average depth quote of place
average speed (kmh),dbo:averageSpeed,,xsd:double,average speed
Average size of the revision per month,dbo:avgRevSizePerMonth,prov:Entity,xsd:anyURI,average size of the revision per month of entity
Average size of the revision per year,dbo:avgRevSizePerYear,prov:Entity,xsd:anyURI,average size of the revision per year of entity
avifauna population,dbo:avifaunaPopulation,dbo:Place,xsd:string,avifauna population of place
awardName,dbo:awardName,dbo:Person,xsd:string,awardname of person
colour hex code of away jersey or its parts,dbo:awayColourHexCode,,xsd:string,colour hex code of away jersey or its parts
b side,dbo:bSide,dbo:Single,xsd:string,b side of single
background,dbo:background,,xsd:string,background
backhand,dbo:backhand,dbo:Athlete,xsd:string,backhand of athlete
bad guy,dbo:badGuy,dbo:Person,xsd:string,bad guy of person
band,dbo:band,dbo:Protein,xsd:string,band of protein
bar pass rate,dbo:barPassRate,dbo:School,xsd:float,bar pass rate of school
barangays,dbo:barangays,dbo:PopulatedPlace,xsd:string,barangays of populated place
batting side,dbo:battingSide,dbo:Athlete,xsd:string,batting side of athlete
battle honours,dbo:battleHonours,dbo:MilitaryUnit,xsd:string,battle honours of military unit
BBR,dbo:bbr,dbo:GridironFootballPlayer,xsd:string,bbr of gridiron football player
beatified date,dbo:beatifiedDate,dbo:Saint,xsd:date,beatified date of saint
bed count,dbo:bedCount,dbo:Hospital,xsd:nonNegativeInteger,bed count of hospital
Believers,dbo:believers,dbo:ChristianDoctrine,xsd:string,believers of christian doctrine
best ranking finish,dbo:bestFinish,dbo:SnookerPlayer,xsd:string,best ranking finish of snooker player
best lap,dbo:bestLap,dbo:Person,xsd:string,best lap of person
best rank double,dbo:bestRankDouble,dbo:TennisPlayer,xsd:string,best rank double of tennis player
best rank single,dbo:bestRankSingle,dbo:TennisPlayer,xsd:string,best rank single of tennis player
best wsop rank,dbo:bestWsopRank,dbo:PokerPlayer,xsd:nonNegativeInteger,best wsop rank of poker player
best year wsop,dbo:bestYearWsop,dbo:PokerPlayer,xsd:gYear,best year wsop of poker player
bgafd id,dbo:bgafdId,dbo:Film,xsd:string,bgafd id of film
BIBSYS Id,dbo:bibsysId,,xsd:string,bibsys id
bicycle information,dbo:bicycleInformation,dbo:Station,xsd:string,bicycle information of station
big pool record,dbo:bigPoolRecord,dbo:Person,xsd:string,big pool record of person
Bioavailability,dbo:bioavailability,dbo:Drug,xsd:float,bioavailability of drug
bioclimate,dbo:bioclimate,dbo:Place,xsd:string,bioclimate of place
birth date,dbo:birthDate,dbo:Animal,xsd:date,birth date of animal
birth name,dbo:birthName,dbo:Person,rdf:langString,birth name of person
birth year,dbo:birthYear,dbo:Person,xsd:gYear,birth year of person
long distance piste number,dbo:blackLongDistancePisteNumber,dbo:Place,xsd:nonNegativeInteger,long distance piste number of place
black ski piste number,dbo:blackSkiPisteNumber,dbo:Place,xsd:nonNegativeInteger,black ski piste number of place
blazon,dbo:blazon,,xsd:string,blazon
Blazon caption,dbo:blazonCaption,dbo:Blazon,xsd:string,blazon caption of blazon
blazon link,dbo:blazonLink,,xsd:string,blazon link
blazon ratio,dbo:blazonRatio,,xsd:double,blazon ratio
block,dbo:block,dbo:VolleyballPlayer,xsd:string,block of volleyball player
blood group,dbo:bloodGroup,dbo:Person,xsd:string,blood group of person
blue long distance piste number,dbo:blueLongDistancePisteNumber,dbo:Place,xsd:nonNegativeInteger,blue long distance piste number of place
blue ski piste number,dbo:blueSkiPisteNumber,dbo:Place,xsd:nonNegativeInteger,blue ski piste number of place
BNF Id,dbo:bnfId,,xsd:string,bnf id
boiling point (K),dbo:boilingPoint,dbo:ChemicalSubstance,xsd:double,boiling point of chemical substance
name,dbo:book,,xsd:string,name
bowl record,dbo:bowlRecord,dbo:CollegeCoach,xsd:string,bowl record of college coach
bowling side,dbo:bowlingSide,dbo:Athlete,xsd:string,bowling side of athlete
BPN Id,dbo:bpnId,,xsd:string,bpn id
brain info number,dbo:brainInfoNumber,dbo:Brain,xsd:string,brain info number of brain
brain info type,dbo:brainInfoType,dbo:Brain,xsd:string,brain info type of brain
bridge carries,dbo:bridgeCarries,dbo:Bridge,xsd:string,bridge carries of bridge
britishOpen,dbo:britishOpen,dbo:Athlete,xsd:string,britishopen of athlete
broadcast station class,dbo:broadcastStationClass,dbo:Broadcaster,xsd:string,broadcast station class of broadcaster
broadcast translator,dbo:broadcastTranslator,dbo:Broadcaster,xsd:string,broadcast translator of broadcaster
bronze medal double,dbo:bronzeMedalDouble,dbo:TennisPlayer,xsd:string,bronze medal double of tennis player
bronze medal mixed,dbo:bronzeMedalMixed,dbo:TennisPlayer,xsd:string,bronze medal mixed of tennis player
bronze medal single,dbo:bronzeMedalSingle,dbo:TennisPlayer,xsd:string,bronze medal single of tennis player
budget ($),dbo:budget,,xsd:double,budget
budget year,dbo:budgetYear,dbo:Place,xsd:string,budget year of place
building end date,dbo:buildingEndDate,,xsd:string,building end date
building end year,dbo:buildingEndYear,dbo:ArchitecturalStructure,xsd:gYear,building end year of architectural structure
building start date,dbo:buildingStartDate,,xsd:string,building start date
building start year,dbo:buildingStartYear,dbo:ArchitecturalStructure,xsd:gYear,building start year of architectural structure
bust size (μ),dbo:bustSize,dbo:Person,xsd:double,bust size of person
bust-waist-hip Size,dbo:bustWaistHipSize,dbo:Person,xsd:string,bust-waist-hip size of person
